Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
Mid-West Manufacturing LLC,475 E 16th St,41.5035,-87.61,331210,PM2.5 Primary (Filt + Cond,,0.44,2011
BARD Materials-Stockton,542 S Simmons St,42.3432,-90.0013,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.133847612,2011
Michlig Grain Holdings LLC,427 S Peoria St,41.1727,-89.6564,424510,PM2.5 Primary (Filt + Cond,,0.110544303,2011
Ruff Brothers Grain Co,Route 251 S,40.8455,-89.0274,424510,PM2.5 Primary (Filt + Cond,,0.466757177,2011
Rabideau Grain & Lumber Inc,745 S Elliot St,40.9302,-87.9375,424920,PM2.5 Primary (Filt + Cond,,0.3703895567,2011
US Silica Co,701 Boyce Memorial Dr,41.3438,-88.8775,212322,PM2.5 Primary (Filt + Cond,Mines/Quarries,46,2011
River Bend Industrial Center,1300 19th St,41.5188,-90.4218,531190,PM2.5 Primary (Filt + Cond,,0.418235,2011
Lincoln Way Materials,2320 S Galena Ave,41.8107,-89.4681,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,1.64759333,2011
Pearl City Baileyville Co-op,4068 Montague Rd,42.2016,-89.5297,424510,PM2.5 Primary (Filt + Cond,,0.99225826,2011
Cremation Services Inc,9329 W Byron St,41.9495,-87.8601,812210,PM2.5 Primary (Filt + Cond,Crematory - Human,0.17,2011
Forest City Technologies Inc,892 Southrock Rd,42.2243,-89.1186,332812,PM2.5 Primary (Filt + Cond,,0.01,2011
Prairie Central Cooperative Inc,100 S Main St,40.8782,-88.8605,424510,PM2.5 Primary (Filt + Cond,,0.280469566,2011
JOHN SCHARFF,Unknown,40.1657,-88.898,48811,PM2.5 Primary (Filt + Cond,Airport,0.007156,2011
Provena Mercy Medical Center,1325 N Highland,41.7858,-88.3245,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
American Colloid Co,2786 W Newburg Rd,42.2489,-88.8743,212399,PM2.5 Primary (Filt + Cond,,0.18848573,2011
Equinix LLC,350 E Cermak Rd,41.8536,-87.6183,541513,PM2.5 Primary (Filt + Cond,,0.048,2011
