Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
06/16/2017,AQS,171430024,1,0.058,ppm,61,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/17/2017,AQS,171430024,1,0.048,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/18/2017,AQS,171430024,1,0.047,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/19/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/20/2017,AQS,171430024,1,0.054,ppm,50,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/21/2017,AQS,171430024,1,0.048,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/22/2017,AQS,171430024,1,0.032,ppm,30,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/23/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/24/2017,AQS,171430024,1,0.043,ppm,40,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/25/2017,AQS,171430024,1,0.034,ppm,31,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/26/2017,AQS,171430024,1,0.041,ppm,38,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/27/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/28/2017,AQS,171430024,1,0.057,ppm,58,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/29/2017,AQS,171430024,1,0.05,ppm,46,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/30/2017,AQS,171430024,1,0.047,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/01/2017,AQS,171430024,1,0.049,ppm,45,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/02/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/03/2017,AQS,171430024,1,0.065,ppm,84,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/04/2017,AQS,171430024,1,0.055,ppm,51,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/05/2017,AQS,171430024,1,0.055,ppm,51,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/06/2017,AQS,171430024,1,0.058,ppm,61,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/07/2017,AQS,171430024,1,0.052,ppm,48,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/08/2017,AQS,171430024,1,0.04,ppm,37,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
07/10/2017,AQS,171430024,1,0.04,ppm,37,FIRESTATION,14,82,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
